Unnamed: 0,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,agent,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,hotel_encoded,meal_BB,meal_FB,meal_HB,meal_SC,meal_Undefined,season,country_BEL,country_BRA,country_CHE,country_CHN,country_CN,country_DEU,country_ESP,country_FRA,country_GBR,country_IRL,country_ITA,country_NLD,country_NOR,country_Other,country_POL,country_PRT,country_RUS,country_SWE,country_USA,market_segment_Complementary,market_segment_Corporate,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA/TO,room_type_changed,deposit_type_Non Refund,deposit_type_Refundable,customer_type_Group,customer_type_Transient,customer_type_Transient-Party
0,Resort Hotel,0,1.1463028102838628,2016,December,49,2,2,5,2,0,0,0,0,0,F,F,4,250,-0.12701640452702223,-0.7948961789891311,0,0,1,True,False,False,False,False,Winter,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0,False,False,False,True,False
1,City Hotel,1,-0.14971811961249532,2015,July,29,16,0,3,2,0,0,0,0,0,A,A,0,9,-0.12701640452702223,-0.531415290781249,0,0,0,True,False,False,False,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
2,City Hotel,0,-0.7602403758446641,2016,December,53,27,0,3,3,0,0,0,0,0,A,K,2,220,-0.12701640452702223,-0.979604430516306,0,1,0,True,False,False,False,False,Winter,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1,False,False,False,False,True
3,City Hotel,0,-1.0173023784687352,2016,March,11,9,0,1,1,0,0,0,0,0,A,A,0,9,-0.12701640452702223,-0.04248168379755048,0,0,0,True,False,False,False,False,Spring,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,0,False,False,False,False,True
4,City Hotel,0,-0.27824912092453086,2017,April,16,16,2,2,2,0,0,0,0,0,A,A,0,9,-0.12701640452702223,0.32421852144022345,0,0,0,False,False,False,True,False,Spring,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
5,City Hotel,0,0.7928425566757652,2017,April,17,27,0,3,2,0,0,0,0,0,D,D,0,9,-0.12701640452702223,0.9353855301698466,0,0,0,True,False,False,False,False,Spring,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
6,City Hotel,1,-0.8030840429486759,2016,March,10,4,0,1,1,0,0,0,0,0,A,A,0,9,-0.12701640452702223,-0.3005299763722803,0,0,0,True,False,False,False,False,Spring,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,False,True
7,City Hotel,0,0.06450021590756391,2015,October,42,16,0,2,2,0,0,0,0,0,A,D,0,6,-0.12701640452702223,0.35138149960598447,0,0,0,False,False,True,False,False,Autumn,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1,False,False,False,False,True
8,Resort Hotel,0,-0.43891287256457523,2016,November,47,19,2,5,2,0,0,0,0,0,D,D,1,314,-0.12701640452702223,-0.777511872963044,0,0,1,False,False,True,False,False,Autumn,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
9,Resort Hotel,0,1.3498102290279193,2015,September,38,14,1,1,2,0,0,0,0,0,A,A,0,68,-0.12701640452702223,-0.4363448672010854,0,0,1,False,False,True,False,False,Autumn,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,False,False,False,True,False
